1391,dejar,"to let, leave"
1402,demandar,"to claim, sue"
1408,demorar,"to delay, take time"
1410,demostrar,"to show, demonstrate"
1412,denominar,"to call, name"
1417,denunciar,to denounce
1420,depender,to depend on
1423,depositar,"to deposit, place, store"
1429,derivar,"to derive, come (from)"
1430,derramar,"to shed, pour out"
1431,derribar,"to knock down, overthrow"
1433,derrotar,"to defeat, beat"
1434,derrumbar,"to knock down, demolish"
1435,desafiar,"to defy, stand up to"
1438,desaparecer,"to disappear, vanish"
1440,desarrollar,to develop
1443,desatar,"to untie, unleash, spark off"
1444,desayunar,to have breakfast
1446,desbordar,"to overflow, spill over"
1448,descansar,to rest
1451,descargar,"to unleash, unload"
1452,descartar,"to discard, reject, rule out"
1453,descender,to descend
1456,descifrar,to decipher
1458,desconocer,"to not know, not recognize"
1460,describir,to describe
1463,descubrir,to discover
1464,descuidar,to neglect
1467,desear,"to want, desire, wish for"
1468,desembocar,"to flow, lead into"
1469,desempeñar,"to carry out, fulfill"
1472,desencadenar,"to unleash, unchain"
1473,desenvolver,"to clear up, unwrap"
1477,desesperar,"to despair, lose hope"
1481,deshacer,"to undo, destroy, take apart"
1484,designar,to designate
1486,deslizar,"to slide, glide, slip"
1492,despedir,"to say goodbye (to), dismiss"
1493,despegar,"to detach, take off (plane)"
1494,despertar,"to wake (up), arouse"
1497,desplazar,"to replace, move, shift"
1498,desplegar,"to unfold, deploy"
1499,despojar,"to deprive, rob"
1500,despreciar,"to despise, scorn"
1502,desprender,"to detach, release, remove"
1504,destacar,"to emphasize, stand out"
1505,destinar,"to assign, appoint"
1507,destrozar,to rip/break into pieces
1509,destruir,"to destroy, ruin"
1510,desvanecer,"to fade, dispel"
1511,desviar,"to deviate, divert, change"
1513,detallar,"to detail, itemize"
1515,detectar,to detect
1517,detener,"to stop, detain"
1519,deteriorar,to deteriorate
1523,determinar,"to determine, decide"
1527,devolver,"to return, give back"
1528,devorar,"to devour, consume"
1533,dialogar,"to confer, talk"
1539,dibujar,"to draw, sketch"
1546,dictar,"to dictate, announce"
1555,diferenciar,"to differentiate, distinguish"
1557,diferir,to differ
1561,dificultar,"to hinder, obstruct"
1562,difundir,to spread (out)
1568,diluir,"to dilute, weaken"
1586,dirigir,"to direct, manage"
1593,disculpar,to excuse
1596,discutir,"to argue, discuss"
1598,diseñar,"to design, develop"
1600,disfrazar,"to disguise, hide, conceal"
1601,disfrutar,to enjoy
1603,disimular,"to disguise, hide, pretend"
1605,disminuir,"to decrease, diminish"
1606,disolver,to dissolve
1607,disparar,to shoot (at)
1609,dispersar,"to disperse, scatter, spread"
1610,disponer,"to have means, dispose"
1617,disputar,"to dispute, contest"
1621,distinguir,to distinguish
1623,distraer,to distract
1625,distribuir,"to distribute, deliver"
1631,divertir,"to amuse, entertain"
1632,dividir,to divide
1635,divisar,"to distinguish, perceive"
1638,doblar,"to bend, turn"
1649,doler,to hurt
1655,dominar,"to dominate, master"
1662,donar,to donate
1666,dormir,to sleep
1671,dotar,"to endow, bestow"
1676,dudar,to (have) doubt
1683,duplicar,"to double, duplicate"
1687,durar,to last
1690,echar,"to throw, cast"
1702,editar,"to edit, publish, release"
1707,educar,to educate
1712,efectuar,"to carry out, cause to happen"
1720,ejecutar,"to execute, carry out"
1725,ejercer,"to practice, exercise"
1732,elaborar,"to make, develop"
1741,elegir,"to choose, elect"
1745,elevar,"to elevate, raise"
1747,eliminar,"to eliminate, exclude"
1755,embarcar,"to embark, load"
1758,emerger,"to emerge, surface"
1759,emigrar,to emigrate
1762,emitir,"to emit, give (off)"
1765,emocionar,"to move, make/get excited"
1766,empapar,"to soak, drench"
1767,empeñar,[se] to insist on
1770,empezar,"to begin, start"
1772,emplear,to employ
1774,emprender,"to undertake, embark on"
1778,empujar,"to push, shove"
1780,enamorar,to fall in love
1781,encabezar,"to head, lead (off)"
1782,encajar,"to insert, fit well"
1784,encaminar,"to head for, guide"
1786,encantar,to be very pleasing to
1788,encarar,"to face, confront"
1790,encargar,"to entrust, [se] take charge of"
1792,encender,to turn on
1794,encerrar,to shut (in)
1797,encoger,to shrink
1798,encontrar,to find
1801,endurecer,"harden, make hard"
1807,enfatizar,"to emphasize, stress"
1808,enfermar,to become ill
1812,enfocar,to focus
1815,enfrentar,"to confront, face"
1817,enfriar,to cool
1818,engañar,"to trick, deceive"
1821,enlazar,"to link, connect"
1822,enloquecer,"to madden, derange"
1823,enmarcar,to frame
1824,enojar,"to anger, annoy"
1827,enredar,"to entangle, ensnare"
1828,enriquecer,to enrich
1829,ensayar,to test
1833,enseñar,"to teach, show"
1835,entender,to understand
1837,enterar,to find out [se]
1839,enterrar,to bury
1842,entonar,"to intone, sing, modulate"
1845,entrabar,to obstruct
1848,entrar,to enter
